path,kind,extension,codec,bytes,megabytes,width,height,longSide,duration,bitRateKbps,pixFmt,variant,workUsage,recommendation
totem/asset/optimized/totem.webp,image,webp,webp,32946,0.033,1700,1134,1700,,,yuv420p,desktop/source,totem:cover+first:desktop,ok
totem/asset/roma.jpg,image,jpg,mjpeg,1258112,1.258,1700,2299,2299,0.04,251622,yuvj444p,desktop/source,,convert-webp
totem/asset/totem.jpg,image,jpg,mjpeg,187658,0.188,1920,1280,1920,0.04,37532,yuvj444p,desktop/source,,convert-webp
whitecanvas/asset/info.jpg,image,jpg,mjpeg,59467,0.059,1851,704,1851,0.04,11893,yuvj444p,desktop/source,,convert-webp
whitecanvas/asset/min.jpg,image,jpg,mjpeg,163337,0.163,1343,896,1343,0.04,32667,yuvj444p,desktop/source,,convert-webp
whitecanvas/asset/optimized/info-mobile.webp,image,webp,webp,8702,0.009,1080,411,1080,,,yuv420p,mobile,1km-x-1km-white-canvas:gallery-2:mobile,ok
whitecanvas/asset/optimized/info.webp,image,webp,webp,15470,0.015,1700,647,1700,,,yuv420p,desktop/source,1km-x-1km-white-canvas:gallery-2:desktop,ok
whitecanvas/asset/optimized/min-mobile.webp,image,webp,webp,10240,0.010,1080,721,1080,,,yuv420p,mobile,1km-x-1km-white-canvas:cover+first:mobile,ok
whitecanvas/asset/optimized/min.webp,image,webp,webp,27294,0.027,1343,896,1343,,,yuv420p,desktop/source,1km-x-1km-white-canvas:cover+first:desktop,ok
whitecanvas/asset/thumb.jpg,image,jpg,mjpeg,234419,0.234,1500,1000,1500,0.04,46884,yuvj444p,desktop/source,,convert-webp
whitecanvas/asset/z2.jpg,image,jpg,mjpeg,129492,0.129,1500,1000,1500,0.04,25898,yuvj444p,desktop/source,,convert-webp
whitecanvas/asset/z3.jpg,image,jpg,mjpeg,222030,0.222,1500,1000,1500,0.04,44406,yuvj444p,desktop/source,,convert-webp
